Habitat,DayNight,Replicate,Mass,Peramphithoe_parmerong,Ampithoe_caddi,Ampithoe_kava,Ampithoe_ngana,Cymadusa_munnu,Exampithoe_kutti,Plumithoe_quadrimana
Colpomenia_peregrina,D,1,7.9,0,0,0,0,0,5,6
Colpomenia_peregrina,D,2,14,0,0,0,0,6,2,16
Colpomenia_peregrina,D,3,12.3,0,0,0,0,1,0,37
Colpomenia_peregrina,D,4,9.2,0,0,0,0,0,3,10
Colpomenia_peregrina,D,5,12.6,0,0,0,0,0,0,2
Colpomenia_peregrina,N,1,11.1,0,2,0,12,0,1,18
Colpomenia_peregrina,N,2,12.3,0,0,0,0,0,1,0
Colpomenia_peregrina,N,3,15.6,0,3,0,0,0,1,31
Colpomenia_peregrina,N,4,8.1,0,2,1,1,4,0,6
Colpomenia_peregrina,N,5,6.9,0,0,0,1,0,1,6
Colpomenia_peregrina,D,1,11.9,0,0,1,0,0,2,13
Colpomenia_peregrina,D,2,8.7,0,0,1,0,6,0,12
Colpomenia_peregrina,D,3,12.8,0,1,0,3,4,2,21
Colpomenia_peregrina,D,4,10.5,1,0,0,0,0,3,33
Colpomenia_peregrina,D,5,10.4,0,1,0,0,0,1,2
Colpomenia_peregrina,N,1,6.8,0,0,0,0,0,2,2
Colpomenia_peregrina,N,2,10.1,0,0,0,0,1,1,9
Colpomenia_peregrina,N,3,7.3,0,0,0,1,1,1,16
Colpomenia_peregrina,N,4,5.3,0,0,0,0,0,2,12
Colpomenia_peregrina,N,5,8.3,0,0,0,3,0,1,50
Dictyopteris_acrostichoides,D,1,25.5,0,19,37,21,0,25,0
Dictyopteris_acrostichoides,D,2,27.9,0,112,51,30,0,30,0
Dictyopteris_acrostichoides,D,3,42.7,0,19,9,15,0,12,0
Dictyopteris_acrostichoides,D,4,20.1,4,13,5,8,0,18,0
Dictyopteris_acrostichoides,D,5,21.7,0,10,1,3,0,16,0
Dictyopteris_acrostichoides,N,1,42.9,0,18,5,1,0,38,0
Dictyopteris_acrostichoides,N,2,20.1,1,95,31,43,0,167,0
Dictyopteris_acrostichoides,N,3,25.7,0,48,27,19,0,95,0
Dictyopteris_acrostichoides,N,4,29.4,0,21,1,2,0,71,0
Dictyopteris_acrostichoides,N,5,23.9,0,179,159,135,0,166,0
Dictyopteris_acrostichoides,D,1,43.6,1,37,9,42,0,58,0
Dictyopteris_acrostichoides,D,2,70.7,0,145,36,34,0,66,0
Dictyopteris_acrostichoides,D,3,47.3,1,76,68,29,0,123,0
Dictyopteris_acrostichoides,D,4,45.3,1,30,21,37,0,18,0
Dictyopteris_acrostichoides,D,5,40,0,30,9,7,0,21,0
Dictyopteris_acrostichoides,N,1,38.2,0,49,22,105,0,79,0
Dictyopteris_acrostichoides,N,2,10.3,0,12,3,3,0,33,0
Dictyopteris_acrostichoides,N,3,41.9,0,6,0,0,0,4,0
Dictyopteris_acrostichoides,N,4,21.8,0,35,2,6,0,37,0
Dictyopteris_acrostichoides,N,5,23.8,0,8,3,2,0,8,0
Sargassum_linearifolium,D,1,43.9,69,23,127,103,0,6,0
Sargassum_linearifolium,D,2,54.4,23,24,34,17,0,23,0
Sargassum_linearifolium,D,3,48.2,56,22,34,54,0,4,0
Sargassum_linearifolium,D,4,92.7,43,42,123,136,0,7,0
Sargassum_linearifolium,D,5,41.9,17,58,63,70,0,12,0
Sargassum_linearifolium,N,1,65.1,17,160,64,94,0,7,0
Sargassum_linearifolium,N,2,52.2,50,24,44,90,0,4,0
Sargassum_linearifolium,N,3,71.2,47,45,70,102,0,5,0
Sargassum_linearifolium,N,4,35.6,22,9,24,93,0,6,0
Sargassum_linearifolium,N,5,20.9,20,9,71,97,0,2,0
Sargassum_linearifolium,D,1,52.3,16,0,9,57,0,7,0
Sargassum_linearifolium,D,2,25.6,8,33,21,23,0,7,0
Sargassum_linearifolium,D,3,70.4,3,4,9,4,0,0,0
Sargassum_linearifolium,D,4,52.7,26,14,8,5,0,18,0
Sargassum_linearifolium,D,5,31,5,5,42,84,0,4,0
Sargassum_linearifolium,N,1,41.5,3,17,21,89,0,3,0
Sargassum_linearifolium,N,2,40.1,23,43,36,60,0,23,0
Sargassum_linearifolium,N,3,35.2,13,25,65,103,0,4,0
Sargassum_linearifolium,N,4,47.7,96,11,28,73,0,9,0
Sargassum_linearifolium,N,5,34.6,45,27,29,38,0,10,0
Sargassum_vestitum,D,1,42.3,30,1,6,3,0,2,0
Sargassum_vestitum,D,2,42.8,56,10,22,11,0,0,0
Sargassum_vestitum,D,3,37.9,60,8,12,5,0,0,0
Sargassum_vestitum,D,4,27.1,31,5,16,19,0,0,0
Sargassum_vestitum,D,5,34.4,24,1,8,1,0,8,0
Sargassum_vestitum,N,1,25.6,44,5,15,5,0,5,0
Sargassum_vestitum,N,2,46.4,18,1,1,0,0,0,0
Sargassum_vestitum,N,3,51.9,42,13,3,0,0,0,0
Sargassum_vestitum,N,4,26.1,20,20,31,4,0,4,0
Sargassum_vestitum,N,5,28.7,13,5,23,10,0,4,0
Sargassum_vestitum,D,1,31.8,23,1,2,1,0,1,0
Sargassum_vestitum,D,2,27.3,13,0,2,4,0,3,0
Sargassum_vestitum,D,3,52.9,3,0,1,1,0,0,0
Sargassum_vestitum,D,4,35.7,9,14,10,6,0,2,0
Sargassum_vestitum,D,5,31.8,5,0,1,1,0,0,0
Sargassum_vestitum,N,1,51.9,45,0,0,3,0,0,0
Sargassum_vestitum,N,2,27.1,16,1,1,0,0,0,0
Sargassum_vestitum,N,3,26.4,16,7,10,4,0,0,0
Sargassum_vestitum,N,4,16.3,9,1,0,0,0,0,0
Sargassum_vestitum,N,5,53.7,2,0,0,0,0,0,0
Zonaria_diesingiana,D,1,8.6,0,14,8,59,0,43,0
Zonaria_diesingiana,D,2,8.9,0,2,4,22,0,0,0
Zonaria_diesingiana,D,3,12.8,0,0,0,23,0,2,0
Zonaria_diesingiana,D,4,11.8,0,0,3,9,0,1,0
Zonaria_diesingiana,D,5,14.6,0,5,13,12,0,7,0
Zonaria_diesingiana,N,1,11.8,0,10,0,40,0,19,0
Zonaria_diesingiana,N,2,3.9,0,0,0,43,0,6,0
Zonaria_diesingiana,N,3,6.6,0,2,0,61,0,11,4
Zonaria_diesingiana,N,4,12.8,0,5,0,19,0,6,0
Zonaria_diesingiana,N,5,5.6,0,3,4,17,0,2,0
Zonaria_diesingiana,D,1,6.2,0,1,10,33,0,6,6
Zonaria_diesingiana,D,2,7.4,0,0,0,10,0,10,0
Zonaria_diesingiana,D,3,15.3,0,0,4,30,0,7,0
Zonaria_diesingiana,D,4,9.9,0,0,0,4,0,1,8
Zonaria_diesingiana,D,5,10.4,0,3,0,42,0,0,1
Zonaria_diesingiana,N,1,4.2,0,14,2,36,2,18,0
Zonaria_diesingiana,N,2,7.6,0,8,13,50,0,5,7
Zonaria_diesingiana,N,3,10.3,0,4,1,28,0,1,0
Zonaria_diesingiana,N,4,7,0,4,0,10,0,4,0
Zonaria_diesingiana,N,5,7.2,0,3,0,49,0,14,0
